Record Date,Debt Outstanding Amount
2024-09-01,35464673929171.69
2023-09-01,33167334044723.16
2022-09-01,30928911613306.73
2021-09-01,28428918570048.68
2020-09-01,26945391194615.15
2019-09-01,22719401753433.78
2018-09-01,21516058183180.23
2017-09-01,20244900016053.51
2016-09-01,19573444713936.79
2015-09-01,18150617666484.33
2014-09-01,17824071380733.82
2013-09-01,16738183526697.32
2012-09-01,16066241407385.89
2011-09-01,14790340328557.15
2010-09-01,13561623030891.79
2009-09-01,11909829003511.75
2008-09-01,10024724896912.49
2007-09-01,9007653372262.48
2006-09-01,8506973899215.23
2005-09-01,7932709661723.50
2004-09-01,7379052696330.32
2003-09-01,6783231062743.62
2002-09-01,6228235965597.16
2001-09-01,5807463412200.06
2000-09-01,5674178209886.86
1999-09-01,5656270901615.43
1998-09-01,5526193008897.62
1997-09-01,5413146011397.34
1996-09-01,5224810939135.73
1995-09-01,4973982900709.39
1994-09-01,4692749910013.32
1993-09-01,4411488883139.38
1992-09-01,4064620655521.66
1991-09-01,3665303351697.03
1990-09-01,3233313451777.25
1989-09-01,2857430960187.32
1988-09-01,2602337712041.16
1987-09-01,2350276890953.00
1986-09-01,2125302616658.42
1985-09-01,1823103000000.00
1984-09-01,1572266000000.00
1983-09-01,1377210000000.00
1982-09-01,1142034000000.00
1981-09-01,997855000000.00
1980-09-01,907701000000.00
1979-09-01,826519000000.00
1978-09-01,771544000000.00
1977-09-01,698840000000.00
1976-06-01,620433000000.00
1975-06-01,533189000000.00
1974-06-01,475059815731.55
1973-06-01,458141605312.09
1972-06-01,427260460940.50
1971-06-01,398129744455.54
1970-06-01,370918706949.93
1969-06-01,353720253841.41
1968-06-01,347578406425.88
1967-06-01,326220937794.54
1966-06-01,319907087795.48
1965-06-01,317273898983.64
1964-06-01,311712899257.30
1963-06-01,305859632996.41
1962-06-01,298200822720.87
1961-06-01,288970938610.05
1960-06-01,286330760848.37
1959-06-01,284705907078.22
1958-06-01,276343217745.81
1957-06-01,270527171896.43
1956-06-01,272750813649.32
1955-06-01,274374222802.62
1954-06-01,271259599108.46
1953-06-01,266071061638.57
1952-06-01,259105178785.43
1951-06-01,255221976814.93
1950-06-01,257357352351.04
1949-06-01,252770359860.33
1948-06-01,252292246512.99
1947-06-01,258286383108.67
1946-06-01,269422099173.26
1945-06-01,258682187409.93
1944-06-01,201003387221.13
1943-06-01,136696090329.90
1942-06-01,72422445116.22
1941-06-01,48961443535.71
1940-06-01,42967531037.68
1939-06-01,40439532411.11
1938-06-01,37164740315.45
1937-06-01,36424613732.29
1936-06-01,33778543493.73
1935-06-01,28700892624.53
1934-06-01,27053141414.48
1933-06-01,22538672560.15
1932-06-01,19487002444.13
1931-06-01,16801281491.71
1930-06-01,16185309831.43
1929-06-01,16931088484.10
1928-06-01,17604293201.43
1927-06-01,18511906931.85
1926-06-01,19643216315.19
1925-06-01,20516193887.90
1924-06-01,21250812989.49
1923-06-01,22349707365.36
1922-06-01,22963381708.31
1921-06-01,23977450552.54
1920-07-01,25952456406.16
1919-07-01,27390970113.12
1918-07-01,14592161414.00
1917-07-01,5717770279.52
1916-07-01,3609244262.16
1915-07-01,3058136873.16
1914-07-01,2912499269.16
1913-07-01,2916204913.66
1912-07-01,2868373874.16
1911-07-01,2765600606.69
1910-07-01,2652665838.04
1909-07-01,2639546241.04
1908-07-01,2626806271.54
1907-07-01,2457188061.54
1906-07-01,2337161839.04
1905-07-01,2274615063.84
1904-07-01,2264003585.14
1903-07-01,2202464781.89
1902-07-01,2158610445.89
1901-07-01,2143326933.89
1900-07-01,2136961091.67
1899-07-01,1991927306.92
1898-07-01,1796531995.90
1897-07-01,1817672665.90
1896-07-01,1769840323.40
1895-07-01,1676120983.25
1894-07-01,1632253636.68
1893-07-01,1545985686.13
1892-07-01,1588464144.63
1891-07-01,1545996591.61
1890-07-01,1552140204.73
1889-07-01,1619052922.23
1888-07-01,1692858984.58
1887-07-01,1657602592.63
1886-07-01,1775063013.78
1885-07-01,1863964873.14
1884-07-01,1830528923.57
1883-07-01,1884171728.07
1882-07-01,1918312994.03
1881-07-01,2069013569.58
1880-07-01,2120415370.63
1879-07-01,2349567482.04
1878-07-01,2256205892.53
1877-07-01,2205301392.10
1876-07-01,2180395067.15
1875-07-01,2232284531.95
1874-07-01,2251690468.43
1873-07-01,2234482993.20
1872-07-01,2253251328.78
1871-07-01,2353211332.32
1870-07-01,2480672427.81
